execution_id,case_id,condition,empty_turns,r1_cluster_jaccard,r1_equivalent_coverage,r1_related_coverage,r2_cluster_jaccard,r2_equivalent_coverage,r2_related_coverage,r3_cluster_jaccard,r3_equivalent_coverage,r3_related_coverage,r1_to_r2_related_rate,r1_to_r2_equivalent_rate,r1_to_r2_screened_related_rate,r1_to_r2_screened_equivalent_rate,r1_screened_reciprocity,r2_to_r3_related_rate,r2_to_r3_equivalent_rate,r2_to_r3_screened_related_rate,r2_to_r3_screened_equivalent_rate,r2_screened_reciprocity
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,0,0.12113146113146113,0.23558201058201056,0.5160582010582011,0.06114163511271409,0.12171008004341338,0.37864604531271195,0.06594346566231907,0.1496031746031746,0.4566468253968254,0.3578042328042328,0.16510649843983177,0.16039207705874373,0.05241826075159409,0.6749841404102348,0.42708333333333337,0.17658730158730157,0.252281746031746,0.09384920634920635,0.896578843885175
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,0,0.10148045970405174,0.15906976744186047,0.4184496124031008,0.04268267827589862,0.09761407175200279,0.33842737722048066,0.055692055692055695,0.0880061115355233,0.30423987776928957,0.35021188900499245,0.12116858237547892,0.22637292464878672,0.04739928015790085,0.6121297602256699,0.29270435446906035,0.07285459638400815,0.1377196333078686,0.028991596638655463,0.598622474922572
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-12,split-generic,0,0.0,0.16428571428571428,0.4714285714285714,0.01979431702934007,0.06121209797003631,0.2334266503042389,0.07270101839185286,0.12983332668501602,0.3667128724719773,0.08770261287518535,0.03735874622897172,0.07365009970854425,0.025163624277752213,0.42697214267117944,0.3236284521387637,0.11133438376746846,0.25563278684165036,0.0834280718550135,0.6760206237849716
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-12,split-specialist-aligned,0,0.026552287581699346,0.14827563598216625,0.29168305795961186,0.014633644713731587,0.023720438901383492,0.26751516390649493,0.06326042378673957,0.10960327648389265,0.3616256087372904,0.06208086280924146,0.011619982280378926,0.05710573843113201,0.011619982280378926,0.5227276117733057,0.31798500315830225,0.057835985628026707,0.25102729724039097,0.0443860328327594,0.5962688384425985
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-14,full-generic,0,0.05702815031308679,0.09950381003012582,0.29525518341307816,0.12469594799829901,0.20298080472499078,0.5116634011982849,0.15535836276690068,0.2503968253968254,0.6420634920634921,0.41514751398472327,0.14477383082034245,0.2535884657977681,0.061078456427293634,0.8504443977885087,0.5253968253968254,0.19365079365079366,0.2468253968253968,0.056746031746031746,0.7073954983922828
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-14,full-specialist,0,0.03923189195842931,0.07087486157253599,0.29726836471022516,0.061031570069186095,0.1000536208570642,0.4322638146167558,0.10364670066162603,0.18680525823382965,0.508150579579151,0.33081894990072896,0.12810312595104562,0.25245279190759823,0.09174963407388084,0.5413318025258325,0.5473970473970474,0.24276517133659992,0.2733694876552019,0.1257076257076257,0.7881899127004844
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-14,split-generic,0,0.005747126436781609,0.0943921978404737,0.2995297805642633,0.04205819474482313,0.10319039198349543,0.29314028882994403,0.047071072387528085,0.13795973674022455,0.345552651955091,0.08756999705275567,0.06284998526377837,0.08756999705275567,0.06284998526377837,0.48801009676062257,0.3815621370499419,0.1414343786295006,0.25212446767324814,0.0687330623306233,0.9286166721050308
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-14,split-specialist-aligned,0,0.006410256410256411,0.16540404040404041,0.3474747474747475,0.03016334477008634,0.051150206810584166,0.18635050144484108,0.07487586891757696,0.16059757236227826,0.4407096171802054,0.09610176213949799,0.03479233950932064,0.07357923961697546,0.025783330500311633,0.24487910056984444,0.3059446000622471,0.10675381263616557,0.22657952069716775,0.08512293806411454,0.5
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-2,full-generic,0,0.12037037037037038,0.20631528964862297,0.3478157644824312,0.09972970698975621,0.09955128205128205,0.2537019230769231,0.11435786435786435,0.16035087719298247,0.4167982456140351,0.33142628205128205,0.12253205128205129,0.10293269230769231,0.023493589743589744,0.6377082360267787,0.35232456140350876,0.13263157894736843,0.16342105263157894,0.03692982456140351,0.6333870101986043
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-2,full-specialist,0,0.04893162393162393,0.0988562091503268,0.27712418300653596,0.10831320450885669,0.09115079365079365,0.3975,0.07469556243550052,0.09901942815249266,0.4367974095796677,0.38432539682539685,0.11015873015873015,0.2738888888888889,0.05174603174603174,0.9006085192697768,0.3921523704789834,0.16202346041055718,0.18988269794721407,0.06317204301075269,0.49935649935649934
